"subject","baseline","instruction","threshold","phs","phs_01","TCF"
1,32,"detect",29.7033333333333,0,0,0.045933333333334
2,32,"detect",31.0533333333333,0,0,0.018933333333334
3,32,"detect",29.7466666666667,0,0,0.045066666666666
4,32,"detect",31.3833333333333,0,0,0.012333333333334
5,32,"detect",30.9133333333333,0,0,0.021733333333334
6,32,"detect",29.9833333333333,0,0,0.040333333333334
7,32,"detect",30.55,0,0,0.029
8,32,"detect",30.83,0,0,0.0234
9,32,"detect",29.41,3,1,0.0518
10,32,"detect",30.44,0,0,0.0312
11,32,"detect",28.9833333333333,0,0,0.060333333333334
12,32,"detect",30.9366666666667,0,0,0.021266666666666
13,32,"detect",30.5433333333333,1,1,0.029133333333334
14,32,"detect",30.69,0,0,0.0262
15,32,"detect",29.6766666666667,0,0,0.046466666666666
16,32,"detect",30.9566666666667,0,0,0.020866666666666
17,32,"detect",31.3466666666667,0,0,0.013066666666666
18,32,"detect",29.6566666666667,0,0,0.046866666666666
19,32,"detect",31.1933333333333,0,0,0.016133333333334
20,32,"detect",29.7633333333333,0,0,0.044733333333334
21,32,"detect",27.8666666666667,0,0,0.082666666666666
22,32,"detect",30.75,0,0,0.025
23,32,"detect",29.8733333333333,0,0,0.042533333333334
24,32,"detect",30.6366666666667,0,0,0.027266666666666
25,32,"detect",30.8333333333333,0,0,0.023333333333334
26,32,"detect",29.88,0,0,0.0424
27,32,"detect",30.45,0,0,0.031
28,32,"detect",30.88,0,0,0.0224
29,32,"detect",30.14,0,0,0.0372
30,32,"detect",29.14,0,0,0.0572
31,32,"detect",29.03,0,0,0.0594
32,32,"detect",28.9333333333333,0,0,0.061333333333334
33,32,"detect",31.2166666666667,0,0,0.015666666666666
34,32,"detect",29.8,0,0,0.044
35,32,"detect",29.9166666666667,0,0,0.041666666666666
36,32,"detect",31.0366666666667,1,1,0.019266666666666
37,32,"detect",30.9433333333333,0,0,0.021133333333334
38,32,"detect",27.6566666666667,1,1,0.086866666666666
39,32,"detect",30.1066666666667,0,0,0.037866666666666
40,32,"detect",30.5166666666667,0,0,0.029666666666666
41,32,"detect",31.3833333333333,0,0,0.012333333333334
42,32,"detect",30.6866666666667,0,0,0.026266666666666
43,32,"detect",30.23,0,0,0.0354
44,32,"detect",30.54,0,0,0.0292
45,32,"detect",29.9566666666667,0,0,0.040866666666666
46,32,"detect",29.1933333333333,0,0,0.056133333333334
47,32,"detect",30.8766666666667,0,0,0.022466666666666
48,32,"detect",29.93,0,0,0.0414
49,32,"detect",31.3666666666667,0,0,0.012666666666666
50,32,"detect",30.62,0,0,0.0276
51,32,"detect",31.15,0,0,0.017
52,32,"detect",29.2733333333333,0,0,0.054533333333334
53,32,"detect",29.2566666666667,0,0,0.054866666666666
54,32,"detect",29.7766666666667,0,0,0.044466666666666
55,32,"detect",28.5433333333333,2,1,0.069133333333334
56,32,"detect",30.5633333333333,0,0,0.028733333333334
57,32,"detect",29.8133333333333,0,0,0.043733333333334
58,32,"detect",29.9933333333333,0,0,0.040133333333334
59,32,"detect",30.48,0,0,0.0304
60,32,"detect",31.2833333333333,0,0,0.014333333333334
61,32,"detect",30.8566666666667,0,0,0.022866666666666
62,32,"detect",29.71,0,0,0.0458
63,32,"detect",30.8533333333333,0,0,0.022933333333334
64,32,"detect",30.2033333333333,0,0,0.035933333333334
65,32,"detect",27.1633333333333,0,0,0.096733333333334
66,32,"detect",28.2866666666667,1,1,0.074266666666666
67,32,"detect",30.3166666666667,0,0,0.033666666666666
68,32,"detect",31.1466666666667,0,0,0.017066666666666
69,32,"detect",29.98,0,0,0.0404
70,32,"detect",30.7766666666667,0,0,0.024466666666666
71,32,"detect",30.72,0,0,0.0256
72,32,"detect",31.1766666666667,0,0,0.016466666666666
73,32,"detect",29.7766666666667,0,0,0.044466666666666
74,32,"detect",29.3066666666667,0,0,0.053866666666666
75,32,"detect",30.8966666666667,0,0,0.022066666666666
76,32,"detect",30.6066666666667,0,0,0.027866666666666
77,32,"detect",30.03,0,0,0.0394
78,32,"detect",29.9866666666667,0,0,0.040266666666666
79,32,"detect",30.3666666666667,0,0,0.032666666666666
80,32,"detect",30.7633333333333,0,0,0.024733333333334
81,32,"detect",31.14,0,0,0.0172
82,32,"detect",29.0133333333333,0,0,0.059733333333334
83,32,"detect",30.43,0,0,0.0314
84,32,"detect",30.61,0,0,0.0278
85,32,"detect",30.8966666666667,0,0,0.022066666666666
86,32,"detect",28.78,0,0,0.0644
87,32,"detect",31.14,0,0,0.0172
88,32,"detect",28.1666666666667,0,0,0.076666666666666
89,32,"detect",28.73,0,0,0.0654
90,32,"detect",30.5366666666667,0,0,0.029266666666666
91,32,"detect",30.93,0,0,0.0214
92,32,"detect",20.8966666666667,0,0,0.222066666666666
93,32,"detect",27.2566666666667,0,0,0.094866666666666
94,32,"detect",30.7,0,0,0.026
95,32,"detect",30.73,0,0,0.0254
96,32,"detect",29.6,0,0,0.048
97,32,"detect",29.9466666666667,0,0,0.041066666666666
98,32,"detect",26.9733333333333,1,1,0.100533333333334
99,32,"detect",30.6566666666667,0,0,0.026866666666666
100,32,"detect",30.39,0,0,0.0322
101,32,"detect",24.4133333333333,3,1,0.151733333333334
102,32,"detect",30.5533333333333,0,0,0.028933333333334
103,32,"detect",30.19,0,0,0.0362
104,32,"detect",30.13,0,0,0.0374
105,32,"detect",20.5266666666667,1,1,0.229466666666666
106,32,"detect",29.0966666666667,0,0,0.058066666666666
107,32,"detect",30.71,0,0,0.0258
108,32,"detect",30.14,0,0,0.0372
109,32,"detect",29.2333333333333,0,0,0.055333333333334
110,32,"detect",29.87,0,0,0.0426
111,32,"detect",26.04,0,0,0.1192
112,32,"detect",30.75,0,0,0.025
113,32,"detect",30.12,0,0,0.0376
114,32,"detect",31.0966666666667,0,0,0.018066666666666
115,32,"detect",30.4833333333333,0,0,0.030333333333334
116,32,"detect",30.56,0,0,0.0288
117,32,"detect",29.7366666666667,0,0,0.045266666666666
118,32,"detect",29.5966666666667,0,0,0.048066666666666
119,32,"detect",27.44,0,0,0.0912
120,32,"detect",29.2333333333333,0,0,0.055333333333334
121,32,"detect",30.2866666666667,0,0,0.034266666666666
122,32,"detect",28.98,0,0,0.0604
123,32,"detect",29.6733333333333,0,0,0.046533333333334
124,32,"detect",30.36,0,0,0.0328
125,32,"detect",30.2466666666667,0,0,0.035066666666666
126,32,"detect",28.97,0,0,0.0606
127,32,"detect",29.1666666666667,0,0,0.056666666666666
128,32,"detect",30.3166666666667,0,0,0.033666666666666
129,32,"detect",29.7366666666667,0,0,0.045266666666666
130,32,"detect",28.2133333333333,0,0,0.075733333333334
131,32,"detect",28.4833333333333,0,0,0.070333333333334
132,32,"detect",30.9466666666667,0,0,0.021066666666666
133,32,"detect",27.7533333333333,1,1,0.084933333333334
134,32,"detect",27.1266666666667,0,0,0.097466666666666
135,32,"detect",29.99,0,0,0.0402
136,32,"detect",30.9266666666667,0,0,0.021466666666666
137,32,"detect",28.73,0,0,0.0654
138,32,"detect",31.2466666666667,0,0,0.015066666666666
139,32,"detect",31.3033333333333,0,0,0.013933333333334
140,32,"detect",27.8,1,1,0.084
141,32,"detect",29.3866666666667,0,0,0.052266666666666
142,32,"detect",30.3766666666667,0,0,0.032466666666666
143,32,"detect",31.31,0,0,0.0138
144,32,"detect",28.96,1,1,0.0608
145,32,"detect",30.8333333333333,0,0,0.023333333333334
146,32,"detect",29.3233333333333,0,0,0.053533333333334
147,32,"detect",30.0266666666667,0,0,0.039466666666666
148,32,"detect",30.9433333333333,0,0,0.021133333333334
149,32,"detect",28.2066666666667,0,0,0.075866666666666
150,32,"detect",30.0033333333333,0,0,0.039933333333334
151,32,"detect",30.0433333333333,0,0,0.039133333333334
152,32,"detect",30.0933333333333,0,0,0.038133333333334
153,32,"detect",31.2333333333333,0,0,0.015333333333334
154,32,"detect",30.91,0,0,0.0218
155,32,"detect",30.0033333333333,0,0,0.039933333333334
156,32,"detect",31.05,0,0,0.019
157,32,"detect",30.9066666666667,0,0,0.021866666666666
158,32,"detect",30.4033333333333,0,0,0.031933333333334
159,32,"detect",31.1333333333333,0,0,0.017333333333334
160,32,"detect",30.7566666666667,0,0,0.024866666666666
161,32,"detect",30.2566666666667,0,0,0.034866666666666
162,32,"detect",29.48,0,0,0.0504
163,32,"detect",30.99,0,0,0.0202
164,32,"detect",29.71,0,0,0.0458
165,32,"detect",31.04,0,0,0.0192
166,32,"detect",29.5833333333333,0,0,0.048333333333334
167,32,"detect",31.2233333333333,0,0,0.015533333333334
168,32,"detect",30.6966666666667,0,0,0.026066666666666
169,32,"detect",29.89,0,0,0.0422
170,32,"detect",30.8433333333333,0,0,0.023133333333334
171,32,"detect",31.1766666666667,0,0,0.016466666666666
172,32,"detect",29.8,0,0,0.044
173,32,"detect",30.2366666666667,0,0,0.035266666666666
174,32,"detect",29.5966666666667,0,0,0.048066666666666
175,32,"detect",31.3066666666667,0,0,0.013866666666666
176,32,"detect",26.6666666666667,2,1,0.106666666666666
177,32,"detect",30.1566666666667,0,0,0.036866666666666
178,32,"detect",27.3166666666667,1,1,0.093666666666666
179,32,"detect",30.0266666666667,0,0,0.039466666666666
180,32,"detect",30.09,0,0,0.0382
181,32,"detect",30.0133333333333,0,0,0.039733333333334
182,32,"detect",30.7233333333333,0,0,0.025533333333334
183,32,"detect",28.14,0,0,0.0772
184,32,"detect",30.2733333333333,0,0,0.034533333333334
185,32,"detect",28.2766666666667,2,1,0.074466666666666
186,32,"detect",30.45,0,0,0.031
187,32,"detect",28.8,0,0,0.064
188,32,"detect",30.5666666666667,0,0,0.028666666666666
189,32,"detect",30.58,0,0,0.0284
190,32,"detect",30.9533333333333,0,0,0.020933333333334
191,32,"detect",18.7566666666667,0,0,0.264866666666666
192,32,"detect",30.0433333333333,0,0,0.039133333333334
193,32,"detect",28.68,0,0,0.0664
194,32,"detect",28.49,0,0,0.0702
195,32,"detect",30.6266666666667,0,0,0.027466666666666
196,32,"detect",29.8833333333333,0,0,0.042333333333334
197,32,"detect",30.7633333333333,0,0,0.024733333333334
198,32,"detect",31.02,0,0,0.0196
199,32,"detect",30.3566666666667,0,0,0.032866666666666
200,32,"detect",31.2133333333333,0,0,0.015733333333334
201,32,"detect",30.98,0,0,0.0204
202,32,"detect",30.8166666666667,0,0,0.023666666666666
203,32,"detect",30.7833333333333,0,0,0.024333333333334
204,32,"detect",28.9033333333333,0,0,0.061933333333334
205,32,"detect",29.11,1,1,0.0578
206,32,"detect",30.2333333333333,0,0,0.035333333333334
207,32,"detect",30.9233333333333,0,0,0.021533333333334
208,32,"detect",30.46,0,0,0.0308
1,38,"detect",27.7766666666667,0,0,0.204466666666666
2,38,"detect",30.2866666666667,0,0,0.154266666666666
3,38,"detect",29.6766666666667,0,0,0.166466666666666
4,38,"detect",30.6666666666667,0,0,0.146666666666666
5,38,"detect",30.3333333333333,0,0,0.153333333333334
6,38,"detect",30.1766666666667,0,0,0.156466666666666
7,38,"detect",30.67,0,0,0.1466
8,38,"detect",29.6433333333333,0,0,0.167133333333334
9,38,"detect",29.21,0,0,0.1758
10,38,"detect",30.3666666666667,0,0,0.152666666666666
11,38,"detect",28.1366666666667,0,0,0.197266666666666
12,38,"detect",30.5766666666667,0,0,0.148466666666666
13,38,"detect",30.27,1,1,0.1546
14,38,"detect",30.89,0,0,0.1422
15,38,"detect",29.29,1,1,0.1742
16,38,"detect",30.46,0,0,0.1508
17,38,"detect",30.46,0,0,0.1508
18,38,"detect",25.4333333333333,0,0,0.251333333333334
19,38,"detect",31.1466666666667,1,1,0.137066666666666
20,38,"detect",29.92,0,0,0.1616
21,38,"detect",29.1766666666667,0,0,0.176466666666666
22,38,"detect",30.2266666666667,0,0,0.155466666666666
23,38,"detect",28.46,0,0,0.1908
24,38,"detect",30.3766666666667,0,0,0.152466666666666
25,38,"detect",30.57,0,0,0.1486
26,38,"detect",28.5466666666667,1,1,0.189066666666666
27,38,"detect",30.21,0,0,0.1558
28,38,"detect",30.48,0,0,0.1504
29,38,"detect",28.6166666666667,0,0,0.187666666666666
30,38,"detect",29.6366666666667,0,0,0.167266666666666
31,38,"detect",29.9266666666667,0,0,0.161466666666666
32,38,"detect",28.7333333333333,0,0,0.185333333333334
33,38,"detect",29.9166666666667,0,0,0.161666666666666
34,38,"detect",28.9766666666667,0,0,0.180466666666666
35,38,"detect",29.7866666666667,0,0,0.164266666666666
36,38,"detect",31.5766666666667,0,0,0.128466666666666
37,38,"detect",28.9633333333333,1,1,0.180733333333334
38,38,"detect",28.36,1,1,0.1928
39,38,"detect",27.3433333333333,0,0,0.213133333333334
40,38,"detect",30.3133333333333,0,0,0.153733333333334
41,38,"detect",30.0766666666667,1,1,0.158466666666666
42,38,"detect",30.66,0,0,0.1468
43,38,"detect",29.8666666666667,0,0,0.162666666666666
44,38,"detect",29.9466666666667,0,0,0.161066666666666
45,38,"detect",29.2466666666667,2,1,0.175066666666666
46,38,"detect",29.0666666666667,0,0,0.178666666666666
47,38,"detect",30.66,0,0,0.1468
48,38,"detect",29.0933333333333,0,0,0.178133333333334
49,38,"detect",30.25,0,0,0.155
50,38,"detect",29.54,0,0,0.1692
51,38,"detect",30.43,0,0,0.1514
52,38,"detect",29.45,0,0,0.171
53,38,"detect",29.97,0,0,0.1606
54,38,"detect",30.1733333333333,0,0,0.156533333333334
55,38,"detect",29.45,0,0,0.171
56,38,"detect",30.6466666666667,0,0,0.147066666666666
57,38,"detect",29.73,0,0,0.1654
58,38,"detect",28.6833333333333,0,0,0.186333333333334
59,38,"detect",30.0133333333333,0,0,0.159733333333334
60,38,"detect",30.9466666666667,0,0,0.141066666666666
61,38,"detect",29.93,0,0,0.1614
62,38,"detect",30.4766666666667,0,0,0.150466666666666
63,38,"detect",30.0533333333333,0,0,0.158933333333334
64,38,"detect",29.9366666666667,0,0,0.161266666666666
65,38,"detect",26.21,0,0,0.2358
66,38,"detect",29.7133333333333,1,1,0.165733333333334
67,38,"detect",29.9866666666667,0,0,0.160266666666666
68,38,"detect",30.6066666666667,0,0,0.147866666666666
69,38,"detect",26.8133333333333,1,1,0.223733333333334
70,38,"detect",29.1566666666667,0,0,0.176866666666666
71,38,"detect",30.25,0,0,0.155
72,38,"detect",29.3133333333333,0,0,0.173733333333334
73,38,"detect",25.77,3,1,0.2446
74,38,"detect",28.5533333333333,0,0,0.188933333333334
75,38,"detect",29.38,0,0,0.1724
76,38,"detect",29.73,0,0,0.1654
77,38,"detect",29.92,0,0,0.1616
78,38,"detect",26.5833333333333,1,1,0.228333333333334
79,38,"detect",29.1766666666667,0,0,0.176466666666666
80,38,"detect",29.12,0,0,0.1776
81,38,"detect",30.5833333333333,0,0,0.148333333333334
82,38,"detect",28.8,0,0,0.184
83,38,"detect",29.9466666666667,0,0,0.161066666666666
84,38,"detect",30.9733333333333,1,1,0.140533333333334
85,38,"detect",30.8266666666667,0,0,0.143466666666666
86,38,"detect",28.51,0,0,0.1898
87,38,"detect",29.87,0,0,0.1626
88,38,"detect",27.4066666666667,0,0,0.211866666666666
89,38,"detect",27.7733333333333,0,0,0.204533333333334
90,38,"detect",30.0833333333333,0,0,0.158333333333334
91,38,"detect",30.19,0,0,0.1562
92,38,"detect",30.2,0,0,0.156
93,38,"detect",27.3666666666667,0,0,0.212666666666666
94,38,"detect",30.3366666666667,0,0,0.153266666666666
95,38,"detect",28.87,1,1,0.1826
96,38,"detect",29.16,0,0,0.1768
97,38,"detect",29.28,0,0,0.1744
98,38,"detect",27.69,0,0,0.2062
99,38,"detect",29.23,0,0,0.1754
100,38,"detect",30.12,0,0,0.1576
101,38,"detect",29.3533333333333,3,1,0.172933333333334
102,38,"detect",28.8066666666667,2,1,0.183866666666666
103,38,"detect",29.8133333333333,0,0,0.163733333333334
104,38,"detect",29.82,0,0,0.1636
105,38,"detect",30.6366666666667,0,0,0.147266666666666
106,38,"detect",28.4433333333333,1,1,0.191133333333334
107,38,"detect",31.0233333333333,0,0,0.139533333333334
108,38,"detect",30.4833333333333,0,0,0.150333333333334
109,38,"detect",28.7633333333333,0,0,0.184733333333334
110,38,"detect",30.3566666666667,0,0,0.152866666666666
111,38,"detect",26.5033333333333,0,0,0.229933333333334
112,38,"detect",30.6166666666667,0,0,0.147666666666666
113,38,"detect",29.7166666666667,0,0,0.165666666666666
114,38,"detect",30.5966666666667,0,0,0.148066666666666
115,38,"detect",29.9466666666667,0,0,0.161066666666666
116,38,"detect",29.59,0,0,0.1682
117,38,"detect",26.5266666666667,1,1,0.229466666666666
118,38,"detect",28.2333333333333,1,1,0.195333333333334
119,38,"detect",28.5166666666667,0,0,0.189666666666666
120,38,"detect",29.8966666666667,0,0,0.162066666666666
121,38,"detect",28.65,0,0,0.187
122,38,"detect",28.29,1,1,0.1942
123,38,"detect",30,0,0,0.16
124,38,"detect",30.3066666666667,0,0,0.153866666666666
125,38,"detect",29.98,0,0,0.1604
126,38,"detect",27.9466666666667,0,0,0.201066666666666
127,38,"detect",30.5766666666667,0,0,0.148466666666666
128,38,"detect",29.44,0,0,0.1712
129,38,"detect",29.0933333333333,0,0,0.178133333333334
130,38,"detect",28.92,0,0,0.1816
131,38,"detect",28.4333333333333,0,0,0.191333333333334
132,38,"detect",30.64,0,0,0.1472
133,38,"detect",28.9833333333333,0,0,0.180333333333334
134,38,"detect",25.4033333333333,0,0,0.251933333333334
135,38,"detect",29.8033333333333,0,0,0.163933333333334
136,38,"detect",30.3233333333333,0,0,0.153533333333334
137,38,"detect",29.2333333333333,0,0,0.175333333333334
138,38,"detect",29.7933333333333,0,0,0.164133333333334
139,38,"detect",30.0966666666667,0,0,0.158066666666666
140,38,"detect",26.9966666666667,1,1,0.220066666666666
141,38,"detect",27.8933333333333,0,0,0.202133333333334
142,38,"detect",30.12,0,0,0.1576
143,38,"detect",30.1366666666667,0,0,0.157266666666666
144,38,"detect",28.7566666666667,0,0,0.184866666666666
145,38,"detect",30.4133333333333,0,0,0.151733333333334
146,38,"detect",29.4466666666667,0,0,0.171066666666666
147,38,"detect",28.6166666666667,0,0,0.187666666666666
148,38,"detect",30.9266666666667,0,0,0.141466666666666
149,38,"detect",29.5933333333333,0,0,0.168133333333334
150,38,"detect",29.6066666666667,0,0,0.167866666666666
151,38,"detect",28.4966666666667,2,1,0.190066666666666
152,38,"detect",31.4133333333333,0,0,0.131733333333334
153,38,"detect",30.8466666666667,1,1,0.143066666666666
154,38,"detect",22.1266666666667,0,0,0.317466666666666
155,38,"detect",29.7733333333333,0,0,0.164533333333334
156,38,"detect",30.7433333333333,0,0,0.145133333333334
157,38,"detect",29.5033333333333,0,0,0.169933333333334
158,38,"detect",30.6033333333333,0,0,0.147933333333334
159,38,"detect",29.78,0,0,0.1644
160,38,"detect",30.14,0,0,0.1572
161,38,"detect",29.7566666666667,0,0,0.164866666666666
162,38,"detect",29.8933333333333,0,0,0.162133333333334
163,38,"detect",30.8233333333333,0,0,0.143533333333334
164,38,"detect",29.79,0,0,0.1642
165,38,"detect",28.8666666666667,1,1,0.182666666666666
166,38,"detect",29.48,0,0,0.1704
167,38,"detect",27.6066666666667,2,1,0.207866666666666
168,38,"detect",30.1333333333333,0,0,0.157333333333334
169,38,"detect",28.9433333333333,0,0,0.181133333333334
170,38,"detect",29.84,0,0,0.1632
171,38,"detect",29.8366666666667,0,0,0.163266666666666
172,38,"detect",29.75,0,0,0.165
173,38,"detect",29.08,0,0,0.1784
174,38,"detect",29.6566666666667,0,0,0.166866666666666
175,38,"detect",31.0633333333333,0,0,0.138733333333334
176,38,"detect",26.4133333333333,0,0,0.231733333333334
177,38,"detect",28.2733333333333,0,0,0.194533333333334
178,38,"detect",25.6966666666667,0,0,0.246066666666666
179,38,"detect",29.5666666666667,0,0,0.168666666666666
180,38,"detect",28.67,0,0,0.1866
181,38,"detect",26.08,0,0,0.2384
182,38,"detect",29.75,0,0,0.165
183,38,"detect",28.9866666666667,0,0,0.180266666666666
184,38,"detect",29.6466666666667,0,0,0.167066666666666
185,38,"detect",28.03,0,0,0.1994
186,38,"detect",29.4333333333333,0,0,0.171333333333334
187,38,"detect",27.3166666666667,0,0,0.213666666666666
188,38,"detect",29.33,0,0,0.1734
189,38,"detect",30.4466666666667,0,0,0.151066666666666
190,38,"detect",29.2,0,0,0.176
191,38,"detect",28.2,1,1,0.196
192,38,"detect",29.52,0,0,0.1696
193,38,"detect",30.0933333333333,0,0,0.158133333333334
194,38,"detect",25.4566666666667,1,1,0.250866666666666
195,38,"detect",30.1033333333333,0,0,0.157933333333334
196,38,"detect",30.0266666666667,0,0,0.159466666666666
197,38,"detect",28.7566666666667,0,0,0.184866666666666
198,38,"detect",30.2533333333333,0,0,0.154933333333334
199,38,"detect",29.7833333333333,0,0,0.164333333333334
200,38,"detect",30.9,0,0,0.142
